cluster_id,pipeline,n_records,record_ids,title,brand,description,price,priceCurrency
c107,llm_assisted_initial,12,"[""r762"", ""r763"", ""r764"", ""r765"", ""r766"", ""r767"", ""r936"", ""r937"", ""r938"", ""r939"", ""r940"", ""r941""]",osram cfl square 28w/835 4-pin gr10q lumilux white 816982,osram,"ledvance cfl square 16 w/835 gr10q, ean: 4050300816876",9.15,eur
c108,llm_assisted_initial,5,"[""r768"", ""r769"", ""r770"", ""r772"", ""r773""]",iiyama prolite xu2390hs 23 inch full hd led flat black computer monitor,iiyama,"23â€ monitor with ips panel and ultra flat frontprolite xu2390hs is a 23â€ led backlit lcd screen featuring ips panel technology which is considered to be the best all round panel type. it offers accurate and consistent colour reproduction with wide viewing angles (178â°/178â°) and fast response time (5 ms black-to-black). xu2380hs is full hd, has a >5mln:1 advanced contrast ratio and 250 cd/mâ² brightness offering the user a clear and vivid image. the prolite xu2390hs will provide excellent performance for photographic design, web design, standard office use and in multi-monitor environment. very suitable for multi-monitor digtal signage and office applications.ipsthe ips panel technology guarantees consistent colour reproduction with wide viewing angles and high contrast and therefore it is especially recommended for graphics design and other applications which require colours to be displayed accurately. the response time of the panel allows for smooth playback while watching films and playing games, making the ips the best all-round technology suitable for both business and home use.full hdwith true 1920 x 1080p resolution your monitor is ready to display high definition images. this means you can accommodate more information on your screen; e.g. 60% more in comparison to a 1280 x 1024 monitor.led-backlita typical ccfl lcd uses four backlight lamps. using led diodes considerably lowers the power consumption and reduces the co2 emission into the environment making this lcd a true eco-friendly product.acrcontrast ratio is a measurement of the difference between the darkest black and the brightest white your monitor can display. advanced contrast ratio is a feature that automatically adjusts contrast and brightness of the screen to assure perfect picture quality while watching films and playing games.hdmihdmi stands for high-definition multimedia interface. much smaller and more convenient than dvi, hdmi also has the significant advantage over dvi that it supports audio as well as video signals.overdrive on / offwhen very fast graphics are displayed your monitor can sometimes get blurry. turning on the overdrive feature will eliminate that.",119.412,gbp
c109,llm_assisted_initial,1,"[""r771""]","xu2390hs-b1iiyama 23\"" ultra slim line , 1920x1080, ips-panel, 4ms, 250 cd/m², speakers, vga, dvi & hdmi",,,1.09,dkk
c11,llm_assisted_initial,1,"[""r48""]",kingston 256gb data traveler 100 generation 3 usb 3.0(fekete) (dt100g3/256gb),,,11960,huf
c110,llm_assisted_initial,1,"[""r789""]",maxxis tire assegai 3c maxxterra/exo+/tr foldable 27.5x2.50wt,,"the maxxis assegai tire is named after the iron-tipped spear used by the zulu people of south africa. greg minnaar, a native of south africa, thought it was a fitting name for a tire ready to do battle on the mountain. the tall knobs punch through dust and loam to find traction, but also offer support and confidence on wet roots and rocks. while other tires excel only in certain conditions, the new maxxis assegai is built to go fast everywhere.",,
c111,llm_assisted_initial,1,"[""r812""]",tuf b450m-plus gaming socket am4 micro atx amd b450,,"processor manufacturer: amdcompatible processor series: amd athlon, amd ryzen 3 3rd gen, amd ryzen 3, 2nd generation amd ryzen™ 3, amd ryzen 5, 2nd generation amd ryzen™ 5, 3rd generation amd ryzen 5, amd ryzen 7, 2nd generation amd ryzen™ 7, 3rd generation amd ryzen 7, 3rd generation amd ryzen 9maximum number of smp processors: 1processor socket: socket am4maximum resolution: 4096 x 2160 pixelsparallel processing technology support: crossfirexmotherboard chipset: amd b450audio chip: realtek alc887-vd2audio output channels: 7.1 channelsmotherboard form factor: micro atxmotherboard chipset family: amdcomponent for: pcwindows operating systems supported: windows 10 education x64, windows 10 enterprise x64, windows 10 home x64, windows 10 pro x64supported memory clock speeds: 3200, 2133, 2400, 2666 mhz, 2800, 3000unbuffered memory: ymemory channels: dual-channelsupported memory types: ddr4-sdramnumber of memory slots: 4memory slots type: dimmwidth: 244 mmdepth: 244 mmlan controller: realtek rtl8111hwake-on-lan ready: yethernet lan: yethernet interface type: gigabit ethernetusb 2.0 connectors: 2usb 3.2 gen 1 (3.1 gen 1) connectors: 1number of sata iii connectors: 6front panel audio connector: yatx power connector (24-pin): ycpu fan connector: ynumber of chassis fan connectors: 2front panel connector: ynumber of com connectors: 1number of eatx power connectors: 112v power connector: ybios type: uefi amibios memory size: 128 mbitacpi version: 6.1clear cmos jumper: yplug and play: ysystem management bios (smbios) version: 3.1manual: ycables included: satadrivers included: yraid levels: 0, 1, 10ethernet lan (rj-45) ports: 1usb 2.0 ports quantity: 2usb 3.2 gen 2 (3.1 gen 2) type-a ports quantity: 1hdmi ports quantity: 1usb 3.2 gen 2 (3.1 gen 2) type-c ports quantity: 1hdmi version: 2.0bps/2 ports quantity: 1dvi-d ports quantity: 1pci express x16 (gen 3.x) slots: 2number of m.2 (m) slots: 1pci express x1 (gen 2.x) slots: 1",1031.00,dkk
c112,llm_assisted_initial,1,"[""r814""]",asus tuf b450m-plus gaming(tuf b450m-plus gaming),,,30970,huf
c113,llm_assisted_initial,2,"[""r819"", ""r1148""]","western digital dysk my passport 1tb 2,5 black wdbyvg0010bbk-wesn",,,317.99,pln
c114,llm_assisted_initial,1,"[""r829""]","asus placa de baza prime x570-p, x570, socket am4, atx",,cpu socket: am4chipset: x570capacitate maxima memorie ram (mb): 128 gb ddr4sloturi pci-e x16: 2 (x16 / x4),1019.99,ron
c115,llm_assisted_initial,2,"[""r840"", ""r842""]",wd purple 3.5 10tb 7200rpm 256mb sata 3 7/24 wd101purz,wd,,2195,sek
c116,llm_assisted_initial,1,"[""r843""]",wd 3.5'' 10tb 7200rpm sata3 256mb wd101purz,,3.5'' 10tb 7200rpm sata3 256mb...,2.4189e3,try
c117,llm_assisted_initial,2,"[""r844"", ""r845""]","western digital purple 10.2tb sata iii 3.5\"" hard drive - 7200rpm",,massive 10.2tb hdd drive capacity. perfect 7200rpm disk speed for storing music and photos,,
c118,llm_assisted_initial,16,"[""r852"", ""r853"", ""r854"", ""r855"", ""r856"", ""r857"", ""r900"", ""r901"", ""r902"", ""r903"", ""r904"", ""r905"", ""r1046"", ""r1047"", ""r1048"", ""r1049""]",hikvision ds-7332hqhi-k4 turbo hd dvr cctv recorder with network and mobile phone remote viewing,hikvision,"key featuresh.265+/h.265/h.264+/h.264 encoding for the main streamself-adaptive hdtvi/hdcvi/ahd/cvbs signal inputfull channel recording at up to 4 mp lite resolution12.5fps recording on 1080phdmi output at up to 4k (3840 × 2160) resolutionalso includes 1 x bnc (cvbs) video outputlong transmission distance over coax cablesupport up to 16-ch synchronous playbackinternet & smart phone compatibledownloadmanufacturers spec sheet (pdf)compatibilityhd-tvi: any hikvision hd-tvi camera (below 4mp)ahd: any ahd cctv camera (below 4mp)analogue: any analogue cctv cameravideo / audio inputvideo compressionh.265 pro+/h.265 pro/h.265/h.264+/h.264analog and hd-tvi video input32ch; bnc interface (1.0vp-p, 75 ω)supported camera typessupport hdtvi input:4 mp, 3 mp, 1080p30, 1080p25, 720p60, 720p50, 720p30, 720p25 note: the 3 mp signal input is only available for channel 1/2/3/4.support ahd input:4 mp, 1080p25, 1080p30, 720p25, 720p30support hdcvi input: 1080p25, 1080p30, 720p25, 720p30support cvbs input:pal/ntscip video input8-ch (up to 40-ch) - up to 6mp - supports h.265+/h.265/h.264+/h.264 ip camerasaudio compressiong.711uaudio input / two-way audio in4-ch, rca (2.0 vp-p, 1 kω)video / audio outputcvbs output1-ch, bnc(1.0vp-p,75ω), resolution:pal:704x576hdmi / vga outputvga / hdmi-1: 1-ch, 1920 × 1080/60hz, 1280 × 1024/60hz, 1280 × 720/60hz, 1024 × 768/60hzhdmi-2: 1-ch, 4k (3840 × 2160)/30hz, 2k (2560 × 1440)/60hz, 1920 × 1080/60hz, 1280 × 1024/60hz, 1280 × 720/60hz, 1024 × 768/60hzencoding resolutionwhen 1080p lite mode not enabled: 4 mp lite/3 mp/1080p/720p/vga/wd1/4cif/cif;when 1080p lite mode enabled: 4 mp lite/3 mp/1080p lite/720p lite/vga/wd1/4cif/cifframe ratemain stream:when 1080p lite mode not enabled:for 4 mp stream access: 4 mp lite@15fps; 1080p lite/720p/wd1/4cif/vga/cif@25fps(p)/30fps (n)for 3 mp stream access: 3 mp/1080p/720p/vga/wd1/4cif/cif@15fpsfor 1080p stream access: 1080p/720p@15fps; vga/wd1/4cif/cif@25fps (p)/30fps (n)for 720p stream access: 720p/vga/wd1/4cif/cif@25fps (p)/30fps (n)when 1080p lite mode enabled:for 4 mp stream access: 4 mp lite@15fps; 1080p lite/720p lite/wd1/4cif/vga/cif@25fps (p)/30fps(n)for 3 mp stream access: 3 mp/1080p lite/720p lite/wd1/4cif/vga/cif@15fpsfor 1080p stream access: 1080p lite/720p lite/wd1/4cif/vga/cif@25fps (p)/30fps (n)for 720p stream access: 720p/wd1/4cif/vga/cif@25fps (p)/30fps (n)sub-stream:wd1/4cif@12fps; cif@25fps (p)/30fps (n)video bit rate32 kbps - 6 mbpsaudio output1-ch, rca (linear, 1kω)audio bit rate64 kbpsdual-streamsupportstream typevideo, video & audiosynchronous playback16chnetwork managementremote connections128network protocolstcp/ip, pppoe, dhcp, hik-connect, dns, ddns, ntp, sadp, nfs, iscsi, upnp™, https, onvifhard disksata4 sata interfacecapacityup to 10 tb capacity for each diskesatasupportexternal interfacenetwork interface1, rj45 10m/100m/1000m self-adaptive ethernet interfaceserial interfacers-232, rs-485 (full-duplex), keyboardusb interfacefront panel: 2 × usb 2.0rear panel: 1 × usb 3.0alarm in/out16/4generalpower supply100 to 240 vacconsumption (without hdd)max 45wworking temperature-10 °c ~ +55 °cworking humidity10% ~ 90%dimensions (w x h x d)440 x 390 x 70 mm weightapprox. 7kg",0.00,gbp
c119,llm_assisted_initial,1,"[""r906""]",tanica inchiostro a pigmenti nero light-light epson ultrachrome hdr (350ml),epson,,186.43,eur
c12,llm_assisted_initial,3,"[""r54"", ""r58"", ""r59""]",aaa replica omega seamaster diver 300m master co-axial watch 210.22.42.20.01.002,omega,"omega seamaster diver 300m 210.22.42.20.01.002 reviewthe omega seamaster diver seems to be the watch that will take the omega collections to greater limelight of luxurious timepieces. the omega seamaster diver celebrated its 30th anniversary in 2018. celebrations were marked by the release of more improved models of the watch. the omega seamaster diver 300m 210.22.42.20.01.002 is one of the upgraded versions of the model that has been released so far. the case of the omega seamaster diver 300m 210.22.42.20.01.002 has been increased by 1mm compared to its previous model. the model is encased in a 42 mm of the legendary omega sedna rose gold. this is combined with stainless steel which surrounds the black dial which is a laser-engraved wave. the case is water resistance up to 300 meters / 1000 feet (30bars). on the sides of the case, you will notice that the watch is equipped with scratch-resistant sapphire crystals.the anti-glare coated sapphire crystals are domed in shape. this is a very important feature for clearer legibility, due to the delicate coating the watch requires attention. the case looks very elegant with the satin-brushed finish. the thickness of the omega seamaster diver 300m 210.22.42.20.01.002 model is 13.5mm. the watch has a crown protector that is polished, and carefully tucked in between is a gold crown. another notable feature is the satin-brushed finish found on the sedna gold bezel, it creates a wonderful contrast to the glossy polish done on the ceramic. this model of omega seamaster diver watch has a bi-color concept. the concept has been smartly expressed by omega in several accents. all these accents have been created by the sedna™ gold (18k pink gold alloy) which is patented by omega. the alloy brings sportiness and more heat to the dial of the watch. in addition to that, the alloy has been used to fill the symbols which are located on the black ceramic bezel. the watch is manually controlled by the helium release valve located at the 10 o’clock sign. the helium release valve happens to be a signature feature of the omega seamaster diver 300m. however, there are some watches in the market which have the same water resistance level of 30 bars but don’t have the helium release valve. omega has maintained this feature in this model since it was present in the very first model of the omega seamaster diver 300m. the other additional feature of the helium release valve is that it can be opened and closed safely underwater.the dial has the legendary wave’s design which was seen in the original model but got lost in the previous updates of the model. the waves are a little different than the ones on the first model of omega seamaster diver. with this seamaster diver 300m model, the waves are laser engraved and are located on the polished ceramic dials. the dial has been made of polished ceramic and comes in a variety of colors: pvd chrome color, black or blue. at 6 o’clock you find the date aperture instead of 3 o’clock. the black date disc has a white print. close to the aperture you will find a smaller hour index. the lume color on the dial is pretty amazing. the hour indices are blue, the bezel is green, and so is the minute hand. the watch is powered by omega’s caliber 8800 internal movement. this is the very first-time omega is using an in house movement, all the previous models used the caliber 2500. the movement is certified as a master chronometer and very solid. the movement guarantees high accuracy ranging from +0 to +5 seconds daily. the timepiece comes both in rubbers tarps and steel bracelets. the ones with steel bracelets are more costly than the rubber strapped ones. the 210.22.42.20.01.002 model has rubbers straps. the rubber straps are much softer and supple compared to the previous rubber straps used by omega. instead of a folding buckle, omega included a normal buckle in this watch model. the buckle has an amazing finish and is signed omega. unlike the 1990s models’ rubber straps, these straps lack the double ridged feature. the watch has the following specifications:➢ stainless steel and sedna (18-carat rose gold) case.➢ the case has a diameter of 42mm, and thickness: 13.5mm➢ sapphire crystals➢ sapphire case back➢ 300 meters of water resistance ➢ rubber strap with a stainless steel buckle.the omega 210.22.42.20.01.002 model is a wonderful piece that can be worn during both official and casual events. visit exquisite timepieces to get your omega seamaster diver 300m 210.22.42.20.01.002 at an affordable price. the watch retails at around $5000. in addition to that, you can find reviews of other luxurious watches in the market. they also have the latest luxury watch arrivals and are the leading provider of luxury timepieces in the market.",6800,usd
c120,llm_assisted_initial,1,"[""r907""]",epson ink stylus pro 7890/9890 & 7900/9900 - light light black,,epson ultrachrome inks for stylus pro 7890/9890 & 7900/9900 350mlk3 hdr light light blackavailabilityin stock,133.5,eur
c121,llm_assisted_initial,14,"[""r912"", ""r913"", ""r914"", ""r915"", ""r916"", ""r1434"", ""r1436"", ""r1438"", ""r1439"", ""r1705"", ""r1706"", ""r1707"", ""r1708"", ""r1709""]",amd ryzen 5 2600x 6-core 3.6 ghz (4.2 ghz max boost) socket am4 95w yd260xbcafbox desktop processor,amd,"product informationamd gamecachemore memory on-chip to accelerate gaming up to twice the cache of previous generations, gamecache is designed to reduce memory latency for higher frame rates in top titles.precision boost 2boost performance when you need it precision boost 2 automatically raises processor frequencies for supercharged performance when you need it most.one click overclockingmaking precision boost 2 even better precision boost overdrive4 uses your motherboard's6 robust design to boost clock speeds higher and longer, and lets you overclock at the touch of a button.amd storemi technologysoftware that combines the speed of your ssd with the capacity of your hard disk into a single, fast, easy-to-manage drive - included with an amd x570, 400 series, or x399 motherboard.amd ryzen™ master utilityunlock ultimate control over your amd ryzen™ powered system for personalized overclocking and efficiency.5the premium amd wraith prism cooler, now with more processors.every boxed 3rd gen amd ryzen 7 and ryzen 9 processor now includes the top-of-the-line amd wraith prism, featuring full rgb color-controlled illumination.show more;",9.17304e3,gbp
c122,llm_assisted_initial,1,"[""r917""]",amd cpu ryzen 9 3900xt box without cooler,,cpu amd ryzen 9 3900xt box without cooler,548.62,eur
